rank_test_macro_f1,param_n_estimators,param_learning_rate,param_estimator__max_depth,param_estimator__min_samples_leaf,param_estimator__criterion,param_estimator__class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
42,50,1.0,2,5,entropy,,0.9301592131894711,0.03508372181078245,0.9523439032363518,0.02296625858875745,0.9079745231425903,0.047343445268957465,0.8726153846153846,0.06447163497210485,0.9372635814889337,0.03085167818489302,0.961531623931624,0.02695906665198458,1.0,0.0
43,100,1.0,3,5,entropy,balanced,0.9300953705520951,0.01256578757748406,0.9525847199723335,0.008595902891454383,0.907606021131857,0.01662801279808644,0.8575384615384616,0.029345523735547975,0.937344064386318,0.011283834245791085,0.9731076923076923,0.014875489864192246,1.0,0.0
44,100,0.5,2,2,entropy,,0.9300724725173086,0.019863739803299557,0.9524473238955051,0.0126872482427772,0.9076976211391126,0.027124536887226353,0.8646153846153846,0.041646582930925866,0.9372635814889337,0.01728481479028366,0.9664615384615385,0.02141773791525792,1.0,0.0
45,200,0.5,3,5,gini,balanced,0.9300220132814548,0.016538671731133627,0.9526384371300965,0.010681406151669258,0.9074055894328129,0.022450242745103825,0.8572307692307692,0.03147498302164779,0.9373440643863178,0.014455364690927468,0.973408547008547,0.015529985935138232,1.0,0.0
46,50,0.5,3,5,entropy,balanced,0.9299843413413414,0.03337408741341429,0.9525911725667029,0.021923178089307657,0.9073775101159798,0.04485872205614954,0.8649230769230769,0.06014105707054147,0.9373038229376258,0.02944909797396844,0.9588786324786325,0.02356111132427085,1.0,0.0
47,200,0.5,3,1,entropy,balanced,0.9299689486196139,0.024137772705575208,0.9526792490991207,0.01585545820170676,0.9072586481401071,0.032439647252293244,0.8575384615384616,0.04627266756211067,0.937344064386318,0.021303885268452463,0.9714188034188034,0.01863249745157053,1.0,0.0
48,100,1.5,2,5,entropy,balanced,0.9299505378873775,0.019528108879461274,0.9526836467124731,0.01255769430611131,0.9072174290622816,0.026542612580063636,0.8572307692307692,0.040381611609902564,0.937344064386318,0.017046707054705238,0.9638837606837607,0.0188276158219683,1.0,0.0
49,50,0.5,3,1,entropy,,0.9299211303751008,0.01691977545533644,0.9526384371300967,0.010681406151669258,0.9072038236201049,0.023210364518406454,0.8569230769230769,0.032737073423434786,0.9373038229376258,0.014635168157236726,0.9638017094017094,0.023486222998974175,1.0,0.0
49,200,0.5,2,5,entropy,,0.9299211303751008,0.01691977545533644,0.9526384371300965,0.010681406151669258,0.9072038236201049,0.023210364518406454,0.8569230769230769,0.032737073423434786,0.9373038229376258,0.014635168157236724,0.9670153846153846,0.022871344137216705,1.0,0.0
51,100,1.0,2,5,entropy,,0.929855853301901,0.02224367797874596,0.9526851879482358,0.014316065433187123,0.9070265186555659,0.030211516952639565,0.8569230769230769,0.04137288938823781,0.9373038229376258,0.019428161341543473,0.9694837606837607,0.020296587945070853,1.0,0.0
