rank_test_macro_f1,param_n_estimators,param_criterion,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_ccp_alpha,param_max_samples,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
44,300,gini,sqrt,32,2,8,0.0,,0.9341325607354246,0.02701680614161649,0.9540315131338974,0.018971134322716396,0.9142336083369518,0.03511919643732046,0.8889230769230769,0.03904662665652998,0.9401609657947686,0.024598883656437316,0.9748239316239318,0.013501003174281441,0.9867406470227259,0.007265671904650752
45,100,gini,sqrt,16,1,4,0.001,0.8,0.934100468299788,0.023158930038472726,0.9539837348252496,0.01628399724904526,0.9142172017743269,0.030108280339747252,0.8886153846153846,0.03060881259186683,0.9401207243460765,0.021095348881648324,0.9762256410256409,0.01483949099857023,0.9867296882006101,0.005338279534417169
46,100,gini,0.3,32,1,2,0.001,,0.9340975083341153,0.02636267558527273,0.9540218835852098,0.019545797142604356,0.9141731330830204,0.03327264251561168,0.8809230769230769,0.025365493963723035,0.9401609657947686,0.024598883656437292,0.9752786324786324,0.014337665915019598,1.0,0.0
47,200,gini,0.5,,1,2,0.001,1.0,0.934000305807942,0.03380774956250553,0.9540850453893933,0.02335592173644891,0.9139155662264905,0.04427563609829242,0.8886153846153846,0.04708396126372573,0.9401207243460764,0.030574657198500346,0.9741264957264958,0.01242759072881628,1.0,0.0
47,200,gini,0.5,16,1,2,0.0,,0.934000305807942,0.03380774956250553,0.9540850453893933,0.02335592173644891,0.9139155662264905,0.04427563609829242,0.8886153846153846,0.04708396126372573,0.9401207243460764,0.030574657198500346,0.9722461538461538,0.013222071833795774,0.995332440426363,0.003811091053357741
49,200,gini,0.5,32,2,8,0.001,1.0,0.9339901752564241,0.03071648518448316,0.9540824424134383,0.021211282694603564,0.91389790809941,0.040248630952661645,0.8886153846153846,0.04708396126372573,0.9401207243460765,0.02777668728778433,0.9708923076923076,0.015440848417081487,0.978146996251278,0.0063757620271952765
49,200,gini,0.5,32,2,8,0.0,1.0,0.9339901752564241,0.03071648518448316,0.9540824424134383,0.021211282694603564,0.91389790809941,0.040248630952661645,0.8886153846153846,0.04708396126372573,0.9401207243460765,0.02777668728778433,0.9707145299145299,0.015660890285984348,0.978146996251278,0.0063757620271952765
51,300,gini,sqrt,32,1,2,0.001,1.0,0.9339491261575802,0.020718732925392495,0.9541748480598411,0.014754913720015037,0.9137234042553193,0.026756826609911848,0.8809230769230769,0.025365493963723035,0.9401609657947686,0.018979123213659386,0.9797811965811964,0.01260760142550655,1.0,0.0
51,100,gini,sqrt,,1,4,0.001,1.0,0.9339491261575802,0.020718732925392495,0.9541748480598411,0.014754913720015037,0.9137234042553193,0.026756826609911848,0.8809230769230769,0.025365493963723035,0.9401609657947686,0.018979123213659386,0.9785777777777778,0.01068295053338572,0.9984509585038795,0.001897180627946304
51,200,entropy,sqrt,,1,4,0.0,1.0,0.9339491261575802,0.020718732925392495,0.9541748480598411,0.014754913720015037,0.9137234042553193,0.026756826609911848,0.8809230769230769,0.025365493963723035,0.9401609657947686,0.018979123213659386,0.9803145299145299,0.013380908329464349,1.0,0.0
54,300,gini,0.5,16,2,8,0.0,,0.933903910204138,0.03359886750153266,0.9542268390795741,0.023436112500614413,0.9135809813287017,0.04377822333298059,0.8809230769230769,0.043856678898699895,0.9401609657947686,0.03052270776631453,0.9714393162393163,0.014879040969757003,0.9796880637673379,0.006749057836904886
54,300,gini,0.5,,2,8,0.0,0.8,0.933903910204138,0.03359886750153266,0.9542268390795741,0.023436112500614413,0.9135809813287017,0.04377822333298059,0.8809230769230769,0.043856678898699895,0.9401609657947686,0.03052270776631453,0.9707350427350427,0.014787706076483147,0.9717859217218473,0.002929063695641404
56,300,gini,0.5,,2,2,0.0,,0.9338718177685014,0.030582633109557753,0.9541790607709262,0.021319818543891495,0.9135645747660768,0.039870565710487124,0.8806153846153846,0.036479385440686636,0.9401207243460765,0.02777668728778433,0.9726837606837607,0.014009453827754202,0.9929998483238677,0.004553026742273123
56,300,gini,0.5,,2,2,0.0,1.0,0.9338718177685014,0.030582633109557753,0.9541790607709262,0.021319818543891495,0.9135645747660768,0.039870565710487124,0.8806153846153846,0.036479385440686636,0.9401207243460765,0.02777668728778433,0.9726837606837607,0.014009453827754202,0.9929998483238677,0.004553026742273123
