rank_test_macro_f1,param_n_estimators,param_criterion,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_max_samples,param_max_leaf_nodes,param_min_impurity_decrease,param_ccp_alpha,param_class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
11,100,log_loss,8,12,2,0.3,True,,32,0.001,0.01,,0.9307992781806306,0.03187303560909191,0.9519744428860838,0.023078141810597162,0.9096241134751774,0.04071532066871242,0.8729230769230769,0.0302353686068634,0.9373038229376258,0.02944909797396844,0.9710837606837608,0.013825776289209587,0.9781632657028787,0.004660764430755818
12,500,entropy,6,12,4,log2,True,0.8,16,0.005,0.01,balanced,0.9306377708462248,0.025569709116649207,0.9521235660085591,0.017889722224248394,0.9091519756838906,0.03328434879105772,0.8729230769230769,0.0302353686068634,0.9373038229376258,0.023253360170854723,0.9721299145299145,0.01548283027929716,0.9649235803020547,0.007061010321274421
13,300,entropy,5,12,1,log2,True,0.6,64,0.005,0.005,balanced_subsample,0.9305194540805513,0.025919190921988713,0.9521122592406648,0.01780246718251983,0.9089266489204378,0.03417113866507249,0.8729230769230769,0.03942305816134637,0.9372635814889335,0.023316577397167065,0.9716034188034188,0.014592510315027306,0.9561057164449445,0.008007169980279807
14,200,log_loss,16,2,2,0.3,False,,64,0.001,0.01,balanced_subsample,0.9304622215241117,0.029048696826197557,0.9522618290664605,0.020492680135972042,0.9086626139817628,0.03761746970752439,0.8652307692307692,0.03116058806442381,0.9373038229376258,0.026532698041434506,0.9778051282051281,0.016041824216319774,1.0,0.0
15,200,log_loss,16,2,12,log2,True,,16,0.01,0.001,,0.9302255264760646,0.029591374151122583,0.9523543360044806,0.020220715617486663,0.9080967169476486,0.03903670658958519,0.8649230769230769,0.04119401346751892,0.9372635814889335,0.026588119294913108,0.9641162393162392,0.0229547494660191,0.9504075332807865,0.004056153210934882
15,500,gini,6,20,8,sqrt,True,,16,0.001,0.005,,0.9302255264760646,0.029591374151122583,0.9523543360044806,0.020220715617486663,0.9080967169476486,0.03903670658958519,0.8649230769230769,0.04119401346751892,0.9372635814889335,0.026588119294913108,0.9666256410256411,0.01840551677358001,0.9503630951390447,0.005317342025379982
17,100,log_loss,5,4,8,log2,False,,8,0.01,0.005,,0.93019889444979,0.027829336348480248,0.952352794768718,0.019016368660709604,0.9080449941308624,0.03674635042194297,0.8646153846153846,0.041646582930925866,0.9372635814889337,0.025005907993498395,0.9712547008547009,0.014758185170025098,0.9573423784623436,0.0058335346068641965
18,200,gini,5,4,12,log2,True,,64,0.001,0.01,,0.930187767566219,0.02984630620412595,0.9524076671341748,0.019985414283675042,0.9079678679982631,0.039715009505340605,0.8649230769230769,0.04119401346751892,0.9372635814889335,0.026588119294913105,0.962523076923077,0.02310132195452159,0.9440107462255106,0.002814097063136734
19,300,log_loss,10,2,1,0.7,True,,32,0.001,0.01,balanced_subsample,0.9301758611581953,0.029568359886036195,0.9524427315230335,0.020140092201657127,0.907908990793357,0.03908020490934378,0.8652307692307692,0.053767855160129906,0.9373038229376258,0.026532698041434506,0.9733675213675215,0.015174481349080835,1.0,0.0
20,300,entropy,12,20,12,sqrt,True,1.0,,0.01,0.0,,0.9296842896997386,0.030567963211794395,0.9527245884697718,0.01955187980373209,0.9066439909297053,0.04165285685966521,0.8569230769230769,0.0546965810296344,0.9372635814889335,0.026588119294913105,0.9648273504273505,0.020763397161812774,0.951034389834826,0.003960449347975657
20,300,log_loss,12,2,12,sqrt,True,1.0,,0.005,0.0,,0.9296842896997386,0.030567963211794395,0.9527245884697718,0.01955187980373209,0.9066439909297053,0.04165285685966521,0.8569230769230769,0.0546965810296344,0.9372635814889335,0.026588119294913105,0.9650051282051283,0.020967648185624382,0.9502220398846635,0.003938084516958552
22,100,entropy,6,4,4,0.3,True,0.6,8,0.001,0.001,balanced_subsample,0.9281830048189482,0.039808432102063626,0.9491907906141167,0.029054444056093188,0.9071752190237797,0.05063421382127759,0.8886153846153846,0.04708396126372573,0.9343661971830987,0.036893179319806395,0.970523076923077,0.016694439625606877,0.9585230239447936,0.007446166235877311
23,200,log_loss,,2,1,sqrt,False,,16,0.005,0.01,balanced,0.9280251442992323,0.037165032195247735,0.9493857078725572,0.02741251730963433,0.9066645807259075,0.046994611152416245,0.8806153846153846,0.036479385440686636,0.9344064386317907,0.03460366829418564,0.9772786324786324,0.015896716829615846,0.9984543168824679,0.0018930749183543824
