rank_test_macro_f1,param_classifier__kernel,param_classifier__C,param_classifier__gamma,param_classifier__degree,param_classifier__coef0,param_classifier__class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
64,poly,0.1,0.3,2.0,0.5,,0.9097459913660192,0.02448656925061863,0.8789855072463768,0.03333333333333332,0.8098461538461539,0.044859807922726376,0.920241448692153,0.021321740862369144,0.9604923076923078,0.013958997385429559,0.9844320265939952,0.0035198044797762297
64,poly,0.1,0.3,2.0,0.5,balanced,0.9097459913660192,0.02448656925061863,0.8789855072463768,0.03333333333333332,0.8098461538461539,0.044859807922726376,0.920241448692153,0.021321740862369144,0.9652923076923076,0.013391351308504173,0.9837288100331925,0.002896498630011205
64,poly,0.1,0.3,2.0,1.0,balanced,0.9097459913660192,0.02448656925061863,0.8789855072463768,0.03333333333333332,0.8098461538461539,0.044859807922726376,0.920241448692153,0.021321740862369144,0.9594666666666665,0.016084714007136063,0.9860591461387012,0.0018971008936782628
64,poly,1.0,0.1,2.0,0.5,balanced,0.9097459913660192,0.02448656925061863,0.8789855072463768,0.03333333333333332,0.8098461538461539,0.044859807922726376,0.920241448692153,0.021321740862369144,0.9442735042735043,0.025960007903952798,0.9883860096573193,0.004248115255694212
68,poly,10.0,0.01,2.0,0.5,balanced,0.909415217941006,0.0450733475236582,0.8783644773358003,0.06157470109619201,0.8166153846153845,0.07505674382025515,0.9200804828973844,0.03907264385474417,0.9394256410256411,0.048983846100083515,0.9704635166464574,0.005435800870554096
69,poly,0.3,0.1,2.0,0.0,balanced,0.9093570190246076,0.02973879104405376,0.878074536068457,0.0417856349150021,0.8092307692307692,0.059504860325580666,0.9202012072434609,0.024980379655148304,0.9682119658119659,0.021343241179414652,0.9749498182338374,0.005362084311598241
69,poly,30.0,0.01,2.0,0.0,balanced,0.9093570190246076,0.02973879104405376,0.878074536068457,0.0417856349150021,0.8092307692307692,0.059504860325580666,0.9202012072434609,0.024980379655148304,0.9682119658119659,0.021343241179414652,0.9749498182338374,0.005362084311598241
71,poly,0.1,0.1,2.0,0.5,,0.9092466500045984,0.040189364932706806,0.8778019323671498,0.05518963719380218,0.8092307692307692,0.06943218563725952,0.9201609657947685,0.03463089388067391,0.9687931623931624,0.01527433828954168,0.9512434898731614,0.00551616706974684
72,poly,3.0,scale,2.0,0.5,balanced,0.9090509978306851,0.0401929506749175,0.8774106280193237,0.05519316884952326,0.8086153846153845,0.06982378496433407,0.9200804828973844,0.03464304959951964,0.9492034188034187,0.03855747291016626,0.975954047226305,0.0038248689387079234
72,poly,3.0,0.03,2.0,0.5,balanced,0.9090509978306851,0.0401929506749175,0.8774106280193237,0.05519316884952326,0.8086153846153845,0.06982378496433407,0.9200804828973844,0.03464304959951964,0.9490188034188034,0.039088813200302434,0.975954047226305,0.0038248689387079234
74,poly,0.3,scale,2.0,0.5,balanced,0.9064706187948062,0.04070357212260557,0.8748132387706855,0.05522509553183386,0.8166153846153845,0.07066480590010427,0.9172233400402415,0.03557958558323192,0.9623999999999999,0.02008495536710915,0.9354040596524695,0.004300991680395023
75,poly,1.0,scale,2.0,0.5,balanced,0.9061414510318364,0.046069128776842265,0.8739824822256435,0.0630395462700585,0.8166153846153845,0.08691095899194423,0.9172233400402415,0.0399053570654295,0.9664547008547009,0.025967772470903094,0.9619290844600468,0.0016117111273642544
75,poly,1.0,0.03,2.0,0.5,balanced,0.9061414510318364,0.046069128776842265,0.8739824822256435,0.0630395462700585,0.8166153846153845,0.08691095899194423,0.9172233400402415,0.0399053570654295,0.9659213675213675,0.026073350457155572,0.9619290844600468,0.0016117111273642544
77,poly,3.0,0.01,3.0,1.0,balanced,0.9059176983170927,0.04611222474100194,0.8733403227464283,0.06309381916561597,0.8086153846153845,0.0784561084093875,0.9172233400402415,0.0399053570654295,0.936957264957265,0.04848975075330317,0.9720494251238028,0.003949402040088468
78,poly,1.0,0.1,2.0,0.5,,0.9058929552415449,0.019522416742540866,0.8730229211635316,0.02709677592774269,0.7938461538461539,0.0378348951358508,0.9173843058350102,0.016625417392644008,0.9489572649572648,0.025112678498615513,0.9844320265939952,0.0035198044797762297
79,poly,10.0,0.01,3.0,0.5,balanced,0.9058905211602024,0.040310078917398566,0.8732471144486164,0.055853453073528236,0.8086153846153845,0.0784561084093875,0.9172635814889336,0.03442711793395856,0.9410598290598291,0.043078724694383286,0.9744482552351996,0.003140366854327656
80,poly,0.3,0.3,2.0,0.0,,0.9058031400966182,0.019694481086751942,0.8728019323671496,0.027574175061847825,0.7938461538461539,0.045513506675939924,0.9173843058350102,0.01662541739264401,0.9538393162393163,0.021129581456015428,0.9890926516151867,0.0029341275014242757
80,poly,30.0,scale,2.0,0.0,,0.9058031400966182,0.019694481086751942,0.8728019323671496,0.027574175061847825,0.7938461538461539,0.045513506675939924,0.9173843058350102,0.01662541739264401,0.9534905982905982,0.021316557067933756,0.9890926516151867,0.0029341275014242757
80,poly,30.0,0.03,2.0,0.0,,0.9058031400966182,0.019694481086751942,0.8728019323671496,0.027574175061847825,0.7938461538461539,0.045513506675939924,0.9173843058350102,0.01662541739264401,0.9538393162393163,0.021129581456015428,0.9890926516151867,0.0029341275014242757
83,poly,0.1,0.1,2.0,1.0,,0.9057296970385484,0.04004820311302898,0.8727426438296003,0.05515344205739873,0.8012307692307692,0.07228084608012814,0.9173038229376257,0.03440773292304782,0.9650461538461539,0.020777704015310622,0.9552527515377707,0.004789537859207993
84,poly,1.0,scale,2.0,1.0,balanced,0.9057018886247411,0.03877914817164845,0.8727317884236081,0.05354964107365405,0.8009230769230768,0.06805219020513577,0.9172635814889336,0.0332203822400867,0.9479452991452991,0.04698489586845071,0.9697162797521921,0.0030235244400235273
84,poly,1.0,0.03,2.0,1.0,balanced,0.9057018886247411,0.03877914817164845,0.8727317884236081,0.05354964107365405,0.8009230769230768,0.06805219020513577,0.9172635814889336,0.0332203822400867,0.9479521367521366,0.04665696326907386,0.9689148529503699,0.004433279008659204
86,rbf,0.1,0.01,,,balanced,0.9044368851634055,0.02697443738012972,0.873592822636301,0.03591945471457182,0.8249230769230769,0.04208079014714769,0.9144466800804828,0.024098345519812398,0.9440000000000002,0.0072213674707875,0.9087228710992367,0.009893231090375234
87,poly,0.3,0.03,2.0,0.5,balanced,0.903137136256734,0.03873494964084402,0.8702033096926713,0.05243028030034697,0.8086153846153845,0.06507965078844204,0.9143661971830988,0.033942320166122676,0.9627555555555555,0.02002349237554682,0.9354040596524695,0.004300991680395023
87,poly,1.0,0.01,3.0,0.5,balanced,0.903137136256734,0.03873494964084402,0.8702033096926713,0.05243028030034697,0.8086153846153845,0.06507965078844204,0.9143661971830988,0.033942320166122676,0.9536957264957266,0.022655929183823142,0.9339547728225863,0.006018976734117583
89,poly,0.1,0.3,2.0,1.0,,0.9029149892040337,0.023211440149807597,0.8693514235789905,0.03159124024503379,0.7938461538461539,0.0378348951358508,0.9145271629778673,0.020208821222176522,0.9574837606837606,0.017274041445273284,0.9844320265939952,0.0035198044797762297
90,poly,3.0,0.01,4.0,1.0,balanced,0.9022202659767894,0.045494322417329036,0.8677925689940709,0.06354270937761605,0.8006153846153845,0.08848280680782972,0.9144064386317907,0.03846808877063236,0.9366222222222221,0.046071206293982724,0.9751896872702366,0.003131726744892928
91,poly,0.3,0.3,2.0,0.0,balanced,0.9022119651896539,0.02421041161479799,0.8675494071146245,0.03418461729022969,0.7858461538461539,0.05356321266951125,0.9145271629778673,0.020208821222176522,0.9375521367521367,0.01661853017954251,0.9906886451076048,0.0031069081523633865
91,poly,3.0,0.1,2.0,0.0,,0.9022119651896539,0.02421041161479799,0.8675494071146245,0.03418461729022969,0.7858461538461539,0.05356321266951125,0.9145271629778673,0.020208821222176522,0.9529435897435896,0.020125036569883507,0.9906592685464444,0.001933166928674556
91,poly,3.0,0.1,2.0,0.0,balanced,0.9022119651896539,0.02421041161479799,0.8675494071146245,0.03418461729022969,0.7858461538461539,0.05356321266951125,0.9145271629778673,0.020208821222176522,0.9378735042735041,0.01723020484762852,0.9922411890565108,0.0024494229838367032
